depth,sand,event index,median_age,min_age,max_age,data_site
NaN,NaN,0,1795.40,NaN,NaN,Basin Bayou2
81.5,2.3763,0,1792.40,1733.9,1829.2,Basin Bayou2
NaN,NaN,0,1792.10,NaN,NaN,Basin Bayou2
NaN,NaN,0,1792.00,NaN,NaN,Basin Bayou2
NaN,NaN,0,1790.00,NaN,NaN,Basin Bayou2
NaN,NaN,0,1789.90,NaN,NaN,Basin Bayou2
82.5,2.5676,0,1787.60,1729.6,1825.2,Basin Bayou2
83.5,4.078,0,1782.70,1724.5,1821.5,Basin Bayou2
84.5,1.6475,0,1778.00,1719.6,1817.9,Basin Bayou2
85.5,2.0112,0,1773.30,1714.7,1814.2,Basin Bayou2
NaN,NaN,0,1771.20,NaN,NaN,Basin Bayou2
NaN,NaN,0,1771.10,NaN,NaN,Basin Bayou2
NaN,NaN,0,1771.00,NaN,NaN,Basin Bayou2
86.5,9.0981,1,1770.90,1711.9,1812.7,Basin Bayou2
87.5,2.5584,0,1768.60,1709.7,1810,Basin Bayou2
88.5,6.6139,0,1766.20,1707.5,1807.2,Basin Bayou2
89.5,13.5577,1,1766.20,1707.5,1807.2,Basin Bayou2
90.5,11.6222,0,1763.80,1704,1805.6,Basin Bayou2
91.5,21.2459,1,1761.40,1700.5,1803.9,Basin Bayou2
92.5,4.0541,0,1759.10,1698.2,1801.5,Basin Bayou2
93.5,4.3996,0,1754.30,1693.1,1797.4,Basin Bayou2
94.5,4.502,0,1749.50,1688.4,1793.2,Basin Bayou2
95.5,4.174,0,1744.70,1683.6,1788.3,Basin Bayou2
96.5,6.7064,0,1739.90,1678.8,1783.6,Basin Bayou2
97.5,4.4725,0,1735.10,1674.8,1779.6,Basin Bayou2
98.5,2.398,0,1730.30,1670.8,1775.6,Basin Bayou2
99.5,7.0238,0,1725.50,1665.9,1771.6,Basin Bayou2
100.5,7.876,1,1723.10,1662.9,1769.8,Basin Bayou2
101.5,6.8371,0,1720.70,1661,1767.3,Basin Bayou2
102.5,6.8115,0,1715.90,1656.7,1762.9,Basin Bayou2
103.5,6.3318,0,1711.10,1652.2,1758.6,Basin Bayou2
104.5,4.5984,0,1706.30,1647.7,1754,Basin Bayou2
105.5,4.2369,0,1701.50,1643.4,1749.2,Basin Bayou2
106.5,4.0036,0,1696.80,1639.1,1744.6,Basin Bayou2
107.5,4.3034,0,1692.10,1634.6,1740.1,Basin Bayou2
NaN,NaN,0,1690.90,NaN,NaN,Basin Bayou2
108.5,1.3629,0,1687.50,1630,1735.9,Basin Bayou2
NaN,NaN,0,1687.20,NaN,NaN,Basin Bayou2
109.5,2.8145,0,1682.90,1625.6,1731.3,Basin Bayou2
NaN,NaN,0,1679.60,NaN,NaN,Basin Bayou2
110.5,2.5083,0,1678.30,1621.8,1726.3,Basin Bayou2
NaN,NaN,0,1675.80,NaN,NaN,Basin Bayou2
111.5,1.105,0,1673.60,1618,1721.4,Basin Bayou2
112.5,1.1944,0,1668.90,1613.8,1716.6,Basin Bayou2
113.5,0.7665,0,1664.00,1609.2,1711.7,Basin Bayou2
114.5,4.3841,0,1659.00,1604,1706.5,Basin Bayou2
115.5,2.1917,0,1654.10,1599,1701.3,Basin Bayou2
NaN,NaN,0,1653.10,NaN,NaN,Basin Bayou2
116.5,0.8157,0,1649.30,1594.3,1696.3,Basin Bayou2
117.5,1.0395,0,1644.70,1589.8,1691.4,Basin Bayou2
118.5,1.1867,0,1640.20,1585.8,1686.1,Basin Bayou2
119.5,4.2578,0,1635.50,1581.6,1680.5,Basin Bayou2
120.5,3.6667,0,1630.70,1577.3,1675.2,Basin Bayou2
121.5,3.5375,0,1625.90,1573.1,1669.4,Basin Bayou2
122.5,1.6657,0,1621.10,1568.8,1663.1,Basin Bayou2
123.5,3.4743,0,1618.70,1566.4,1660.6,Basin Bayou2
124.5,10.1486,1,1618.70,1566.4,1660.6,Basin Bayou2
125.5,7.9371,0,1616.40,1564.8,1656.8,Basin Bayou2
126.5,8.1541,0,1614.00,1563.1,1653,Basin Bayou2
127.5,8.8247,1,1614.00,1563.1,1653,Basin Bayou2
128.5,3.5458,0,1611.70,1561.1,1650.4,Basin Bayou2
129.5,3.8394,0,1607.20,1557.3,1645.1,Basin Bayou2
130.5,1.6667,0,1602.80,1553.1,1641.1,Basin Bayou2
NaN,NaN,0,1601.90,NaN,NaN,Basin Bayou2
131.5,0.9952,0,1598.30,1549.1,1638.2,Basin Bayou2
NaN,NaN,0,1597.20,NaN,NaN,Basin Bayou2
132.5,1.9124,0,1593.90,1545.5,1635.6,Basin Bayou2
