depth,sand,event index,median_age,min_age,max_age,data_site
127.5,59.0000,0,,,,Laguna Playa Grande
128.5,38.9000,0,,,,Laguna Playa Grande
129.5,43.4000,0,,,,Laguna Playa Grande
130.5,41.9000,0,,,,Laguna Playa Grande
131.5,41.4000,0,,,,Laguna Playa Grande
132.5,42.8000,0,,,,Laguna Playa Grande
133.5,39.4000,0,,,,Laguna Playa Grande
134.5,44.0000,0,,,,Laguna Playa Grande
135.5,44.4000,0,,,,Laguna Playa Grande
136.5,49.5000,0,,,,Laguna Playa Grande
137.5,54.5000,0,,,,Laguna Playa Grande
138.5,55.8000,0,,,,Laguna Playa Grande
139.5,54.1000,0,,,,Laguna Playa Grande
140.5,43.9000,0,,,,Laguna Playa Grande
141.5,64.8000,0,,,,Laguna Playa Grande
142.5,76.9000,1,,,,Laguna Playa Grande
143.5,67.1000,0,,,,Laguna Playa Grande
144.5,95.7000,1,,,,Laguna Playa Grande
145.5,64.1000,0,,,,Laguna Playa Grande
146.5,33.9000,0,,,,Laguna Playa Grande
147.5,38.6000,0,,,,Laguna Playa Grande
148.5,39.4000,0,,,,Laguna Playa Grande
149.5,40.6000,0,,,,Laguna Playa Grande
150.5,35.6000,0,,,,Laguna Playa Grande
151.5,33.5000,0,,,,Laguna Playa Grande
152.5,40.7000,0,,,,Laguna Playa Grande
153.5,37.7000,0,,,,Laguna Playa Grande
154.5,60.6000,0,,,,Laguna Playa Grande
155.5,86.5000,1,,,,Laguna Playa Grande
156.5,75.6000,0,,,,Laguna Playa Grande
157.5,68.8000,0,,,,Laguna Playa Grande
158.5,53.3000,0,,,,Laguna Playa Grande
159.5,39.4000,0,,,,Laguna Playa Grande
160.5,89.2000,1,,,,Laguna Playa Grande
161.5,68.7000,0,,,,Laguna Playa Grande
162.5,62.8000,0,,,,Laguna Playa Grande
163.5,53.3000,0,,,,Laguna Playa Grande
164.5,43.2000,0,,,,Laguna Playa Grande
165.5,50.9000,0,,,,Laguna Playa Grande
166.5,60.2000,0,,,,Laguna Playa Grande
167.5,34.0000,0,,,,Laguna Playa Grande
168.5,42.2000,0,,,,Laguna Playa Grande
169.5,39.6000,0,,,,Laguna Playa Grande
170.5,112.1000,0,,,,Laguna Playa Grande
171.5,146.3000,1,,,,Laguna Playa Grande
172.5,93.2000,0,,,,Laguna Playa Grande
173.5,54.2000,0,,,,Laguna Playa Grande
174.5,40.6000,0,,,,Laguna Playa Grande
175.5,47.7000,0,,,,Laguna Playa Grande
176.5,51.9000,0,,,,Laguna Playa Grande
177.5,49.3000,0,,,,Laguna Playa Grande
178.5,48.6000,0,,,,Laguna Playa Grande
179.5,69.4000,0,,,,Laguna Playa Grande
180.5,72.1000,0,,,,Laguna Playa Grande
181.5,76.8000,0,,,,Laguna Playa Grande
182.5,79.4000,0,,,,Laguna Playa Grande
183.5,113.4000,1,,,,Laguna Playa Grande
184.5,58.2000,0,,,,Laguna Playa Grande
185.5,59.1000,0,,,,Laguna Playa Grande
186.5,55.6000,0,,,,Laguna Playa Grande
187.5,54.6000,0,,,,Laguna Playa Grande
188.5,46.8000,0,,,,Laguna Playa Grande
189.5,46.3000,0,,,,Laguna Playa Grande
190.5,52.4000,0,,,,Laguna Playa Grande
191.5,48.6000,0,,,,Laguna Playa Grande
192.5,53.7000,0,,,,Laguna Playa Grande
193.5,79.8000,0,,,,Laguna Playa Grande
194.5,102.9000,1,,,,Laguna Playa Grande
195.5,36.8000,0,,,,Laguna Playa Grande
196.5,40.7000,0,,,,Laguna Playa Grande
197.5,45.2000,0,,,,Laguna Playa Grande
198.5,44.3000,0,,,,Laguna Playa Grande
199.5,63.2000,0,,,,Laguna Playa Grande
200.5,65.6000,0,,,,Laguna Playa Grande
