depth,sand,event index,median_age,min_age,max_age,data_site
0.75,47.63,1,,,,Lighthouse Reef 2020
1,18.21,0,,,,Lighthouse Reef 2020
1.25,39.49,1,,,,Lighthouse Reef 2020
2.25,17.32,0,,,,Lighthouse Reef 2020
2.5,43.70,0,,,,Lighthouse Reef 2020
3,50.51,1,,,,Lighthouse Reef 2020
4.5,13.77,0,,,,Lighthouse Reef 2020
5,24.23,1,,,,Lighthouse Reef 2020
5.75,14.63,0,,,,Lighthouse Reef 2020
6,20.65,1,,,,Lighthouse Reef 2020
6.5,17.39,0,,,,Lighthouse Reef 2020
7,20.18,1,,,,Lighthouse Reef 2020
7.75,20.94,1,,,,Lighthouse Reef 2020
8.25,16.00,0,,,,Lighthouse Reef 2020
9,19.33,1,,,,Lighthouse Reef 2020
11.5,15.39,0,,,,Lighthouse Reef 2020
12.5,19.52,1,,,,Lighthouse Reef 2020
13.5,19.41,1,,,,Lighthouse Reef 2020
14.75,18.61,1,,,,Lighthouse Reef 2020
16.25,14.99,0,,,,Lighthouse Reef 2020
18.25,20.85,1,,,,Lighthouse Reef 2020
19.25,22.01,1,,,,Lighthouse Reef 2020
20.25,17.71,0,,,,Lighthouse Reef 2020
20.5,19.69,1,,,,Lighthouse Reef 2020
21,26.30,0,,,,Lighthouse Reef 2020
23.25,40.83,0,,,,Lighthouse Reef 2020
24.5,60.49,1,,,,Lighthouse Reef 2020
25.25,15.78,0,,,,Lighthouse Reef 2020
27,28.32,1,,,,Lighthouse Reef 2020
28,16.14,0,,,,Lighthouse Reef 2020
30.5,23.55,1,,,,Lighthouse Reef 2020
32,21.76,1,,,,Lighthouse Reef 2020
33,16.51,0,,,,Lighthouse Reef 2020
35.75,45.33,1,,,,Lighthouse Reef 2020
36.5,42.05,0,,,,Lighthouse Reef 2020
37.25,22.03,1,,,,Lighthouse Reef 2020
38.25,22.24,1,,,,Lighthouse Reef 2020
40.5,13.00,0,,,,Lighthouse Reef 2020
43.5,26.30,0,,,,Lighthouse Reef 2020
43.75,32.47,1,,,,Lighthouse Reef 2020
44.75,38.14,0,,,,Lighthouse Reef 2020
45,50.93,1,,,,Lighthouse Reef 2020
47.75,22.92,1,,,,Lighthouse Reef 2020
48.5,15.60,0,,,,Lighthouse Reef 2020
50.25,29.59,1,,,,Lighthouse Reef 2020
53.25,26.29,1,,,,Lighthouse Reef 2020
54.25,18.97,1,,,,Lighthouse Reef 2020
55,14.72,0,,,,Lighthouse Reef 2020
56.25,66.84,1,,,,Lighthouse Reef 2020
57.75,21.70,1,,,,Lighthouse Reef 2020
60.25,15.65,0,,,,Lighthouse Reef 2020
64.25,19.97,1,,,,Lighthouse Reef 2020
66,18.06,0,,,,Lighthouse Reef 2020
66.5,200.60,1,,,,Lighthouse Reef 2020
68,25.69,1,,,,Lighthouse Reef 2020
69,29.73,1,,,,Lighthouse Reef 2020
71.75,14.15,0,,,,Lighthouse Reef 2020
72.5,19.19,1,,,,Lighthouse Reef 2020
80.75,114.50,0,,,,Lighthouse Reef 2020
81.5,226.00,1,,,,Lighthouse Reef 2020
82.75,44.83,0,,,,Lighthouse Reef 2020
84.25,16.11,0,,,,Lighthouse Reef 2020
86.75,25.53,1,,,,Lighthouse Reef 2020
87.25,24.24,0,,,,Lighthouse Reef 2020
87.5,24.69,1,,,,Lighthouse Reef 2020
87.75,28.80,0,,,,Lighthouse Reef 2020
88,29.66,1,,,,Lighthouse Reef 2020
88.25,28.79,0,,,,Lighthouse Reef 2020
89,23.14,0,,,,Lighthouse Reef 2020
89.75,41.63,1,,,,Lighthouse Reef 2020
90.25,21.98,0,,,,Lighthouse Reef 2020
91,19.57,0,,,,Lighthouse Reef 2020
91.75,28.15,0,,,,Lighthouse Reef 2020
92,24.44,1,,,,Lighthouse Reef 2020
92.5,19.28,0,,,,Lighthouse Reef 2020
93,28.31,0,,,,Lighthouse Reef 2020
94,43.86,1,,,,Lighthouse Reef 2020
94.25,21.42,0,,,,Lighthouse Reef 2020
95,23.73,0,,,,Lighthouse Reef 2020
95.75,19.54,0,,,,Lighthouse Reef 2020
96.5,19.96,0,,,,Lighthouse Reef 2020
97.25,20.13,0,,,,Lighthouse Reef 2020
98,33.91,1,,,,Lighthouse Reef 2020
98.25,23.54,0,,,,Lighthouse Reef 2020
98.75,33.37,1,,,,Lighthouse Reef 2020
99,26.72,0,,,,Lighthouse Reef 2020
99.75,23.49,0,,,,Lighthouse Reef 2020
100,25.30,0,,,,Lighthouse Reef 2020
100.75,77.28,1,,,,Lighthouse Reef 2020
101.25,34.81,0,,,,Lighthouse Reef 2020
101.75,21.15,0,,,,Lighthouse Reef 2020
102.5,28.36,0,,,,Lighthouse Reef 2020
103,28.68,1,,,,Lighthouse Reef 2020
103.25,22.15,0,,,,Lighthouse Reef 2020
103.5,39.87,1,,,,Lighthouse Reef 2020
104.25,26.09,0,,,,Lighthouse Reef 2020
104.5,29.80,1,,,,Lighthouse Reef 2020
104.75,16.38,0,,,,Lighthouse Reef 2020
105.75,14.78,0,,,,Lighthouse Reef 2020
106.75,77.67,1,,,,Lighthouse Reef 2020
112.5,40.35,0,,,,Lighthouse Reef 2020
114,21.93,0,,,,Lighthouse Reef 2020
114.5,19.01,0,,,,Lighthouse Reef 2020
115,22.07,0,,,,Lighthouse Reef 2020
115.5,19.07,0,,,,Lighthouse Reef 2020
115.75,22.93,0,,,,Lighthouse Reef 2020
116,18.74,0,,,,Lighthouse Reef 2020
117.5,24.63,0,,,,Lighthouse Reef 2020
121.25,65.76,0,,,,Lighthouse Reef 2020
125.5,56.90,0,,,,Lighthouse Reef 2020
134.5,36.39,0,,,,Lighthouse Reef 2020
135.5,67.32,1,,,,Lighthouse Reef 2020
136.75,16.69,0,,,,Lighthouse Reef 2020
137,19.54,0,,,,Lighthouse Reef 2020
137.5,38.63,1,,,,Lighthouse Reef 2020
138,38.38,0,,,,Lighthouse Reef 2020
138.75,15.02,0,,,,Lighthouse Reef 2020
139.5,17.85,0,,,,Lighthouse Reef 2020
140.25,14.83,0,,,,Lighthouse Reef 2020
141,13.52,0,,,,Lighthouse Reef 2020
141.75,14.92,0,,,,Lighthouse Reef 2020
142.5,17.11,0,,,,Lighthouse Reef 2020
143.25,16.49,0,,,,Lighthouse Reef 2020
144,16.36,0,,,,Lighthouse Reef 2020
144.75,18.38,0,,,,Lighthouse Reef 2020
145.5,18.18,0,,,,Lighthouse Reef 2020
146,24.81,0,,,,Lighthouse Reef 2020
147.5,29.10,1,,,,Lighthouse Reef 2020
148,30.21,0,,,,Lighthouse Reef 2020
149,29.65,0,,,,Lighthouse Reef 2020
150,50.82,1,,,,Lighthouse Reef 2020
153,32.84,0,,,,Lighthouse Reef 2020
156,44.98,0,,,,Lighthouse Reef 2020
157.5,17.79,0,,,,Lighthouse Reef 2020
157.75,17.77,0,,,,Lighthouse Reef 2020
158.5,22.71,0,,,,Lighthouse Reef 2020
159,17.87,0,,,,Lighthouse Reef 2020
159.25,26.54,1,,,,Lighthouse Reef 2020
159.75,19.11,0,,,,Lighthouse Reef 2020
160.25,20.93,0,,,,Lighthouse Reef 2020
160.75,18.26,0,,,,Lighthouse Reef 2020
161.25,24.41,1,,,,Lighthouse Reef 2020
162.25,18.03,0,,,,Lighthouse Reef 2020
163,19.13,0,,,,Lighthouse Reef 2020
163.75,18.39,0,,,,Lighthouse Reef 2020
165,28.07,0,,,,Lighthouse Reef 2020
165.5,32.96,0,,,,Lighthouse Reef 2020
166,52.02,1,,,,Lighthouse Reef 2020
166.75,24.28,0,,,,Lighthouse Reef 2020
167.25,52.84,1,,,,Lighthouse Reef 2020
168,36.48,0,,,,Lighthouse Reef 2020
168.75,30.19,0,,,,Lighthouse Reef 2020
169.25,14.73,0,,,,Lighthouse Reef 2020
170,39.88,1,,,,Lighthouse Reef 2020
170.75,19.80,0,,,,Lighthouse Reef 2020
171.25,21.90,0,,,,Lighthouse Reef 2020
171.75,20.05,0,,,,Lighthouse Reef 2020
172.25,22.59,0,,,,Lighthouse Reef 2020
172.75,13.96,0,,,,Lighthouse Reef 2020
173.25,21.73,0,,,,Lighthouse Reef 2020
173.5,20.28,0,,,,Lighthouse Reef 2020
174.25,16.65,0,,,,Lighthouse Reef 2020
175,18.59,0,,,,Lighthouse Reef 2020
175.25,24.41,1,,,,Lighthouse Reef 2020
176,20.51,0,,,,Lighthouse Reef 2020
177,22.24,0,,,,Lighthouse Reef 2020
177.75,19.94,0,,,,Lighthouse Reef 2020
178,23.01,0,,,,Lighthouse Reef 2020
179,24.73,0,,,,Lighthouse Reef 2020
180.25,22.30,0,,,,Lighthouse Reef 2020
181.25,21.68,0,,,,Lighthouse Reef 2020
182.25,26.20,0,,,,Lighthouse Reef 2020
183,24.21,0,,,,Lighthouse Reef 2020
183.25,38.76,1,,,,Lighthouse Reef 2020
184.25,25.41,0,,,,Lighthouse Reef 2020
184.75,20.53,0,,,,Lighthouse Reef 2020
185.5,59.08,1,,,,Lighthouse Reef 2020
186,25.23,0,,,,Lighthouse Reef 2020
186.5,24.76,1,,,,Lighthouse Reef 2020
187.25,24.74,0,,,,Lighthouse Reef 2020
187.5,30.48,0,,,,Lighthouse Reef 2020
187.75,46.28,1,,,,Lighthouse Reef 2020
189.5,37.07,0,,,,Lighthouse Reef 2020
190,37.45,0,,,,Lighthouse Reef 2020
191.5,60.74,1,,,,Lighthouse Reef 2020
192.5,44.97,0,,,,Lighthouse Reef 2020
192.75,32.13,0,,,,Lighthouse Reef 2020
193,49.10,1,,,,Lighthouse Reef 2020
194,21.36,0,,,,Lighthouse Reef 2020
194.25,17.75,0,,,,Lighthouse Reef 2020
197.25,32.80,1,,,,Lighthouse Reef 2020
198,29.62,0,,,,Lighthouse Reef 2020
201,13.10,0,,,,Lighthouse Reef 2020
202.25,16.18,0,,,,Lighthouse Reef 2020
203.25,19.75,0,,,,Lighthouse Reef 2020
204.5,19.69,0,,,,Lighthouse Reef 2020
205.5,17.05,0,,,,Lighthouse Reef 2020
206,25.62,1,,,,Lighthouse Reef 2020
207,19.59,0,,,,Lighthouse Reef 2020
207.75,16.48,0,,,,Lighthouse Reef 2020
214.25,38.76,0,,,,Lighthouse Reef 2020
217.75,62.91,1,,,,Lighthouse Reef 2020
218.5,61.45,0,,,,Lighthouse Reef 2020
219.5,18.10,0,,,,Lighthouse Reef 2020
220.5,19.18,0,,,,Lighthouse Reef 2020
221.5,22.63,0,,,,Lighthouse Reef 2020
222.5,28.17,0,,,,Lighthouse Reef 2020
223,36.84,0,,,,Lighthouse Reef 2020
223.5,51.41,1,,,,Lighthouse Reef 2020
224.75,20.55,0,,,,Lighthouse Reef 2020
225.5,22.25,0,,,,Lighthouse Reef 2020
226,19.72,0,,,,Lighthouse Reef 2020
226.75,23.43,0,,,,Lighthouse Reef 2020
227.25,50.35,0,,,,Lighthouse Reef 2020
